id,filtered_words_str,label_index
R129,player old nice office scene. fear memory past stand region area home. experts discuss ongoing developments election.,1.0
R227,like daughter really mouth short yet run. professor since grow. experts discuss ongoing developments climate change.,1.0
F231,focus charge arrive official. choose report help culture enter. — shocking claims aliens surface internet.,0.0
R066,clearly professional. experts discuss ongoing developments policy.,1.0
F095,edge sing leader back since. film big town especially letter stock. — shocking claims mind control surface internet.,0.0
R174,also serve onto similar course agreement. fear drug wide expect significant ok. skill conference true every water. rock return push talk of. experts discuss ongoing developments policy.,1.0
R201,official enter pm take feel summer clear. food foot inside provide reason others wonder the. remain nation enjoy form. experts discuss ongoing developments public health.,1.0
R072,level worker glass return my. role effort southern performance wall. experts discuss ongoing developments education.,1.0
R064,current investment. experts discuss ongoing developments research.,1.0
F037,represent ahead seat consider son grow. current whether produce time form. bar administration response fish gun. — shocking claims miracle drug surface internet.,0.0
R170,space factor. operation doctor adult star. program finally clearly citizen talk indeed quickly. experts discuss ongoing developments technology breakthrough.,1.0
F110,republican southern admit appear. free evidence rise contain especially seek. — shocking claims celebrity scandal surface internet.,0.0
F048,since affect able something near occur. stock bank security management hospital tree. — shocking claims secret cure surface internet.,0.0
F082,unit shake edge story item. teach social involve simple base. family line mind. — shocking claims hoax surface internet.,0.0
F187,go traditional buy feeling. movement collection system need option require. hand politics wonder sing them. — shocking claims miracle drug surface internet.,0.0
F027,behavior theory much prove painting popular increase. television perform. color method newspaper sort generation. — shocking claims miracle drug surface internet.,0.0
F202,follow buy stuff. candidate study result fish president. put compare. — shocking claims hoax surface internet.,0.0
F197,decade authority stock road successful. — shocking claims secret cure surface internet.,0.0
R128,threat word close early past imagine. throw pay girl join grow happen. experts discuss ongoing developments climate change.,1.0
F157,shoulder major company black. trip store social own. force describe ok. — shocking claims government cover-up surface internet.,0.0
F117,finally billion low idea attack. west resource organization. — shocking claims hoax surface internet.,0.0
F173,record national happy family firm rich develop. agency professional answer parent mission difference. — shocking claims secret cure surface internet.,0.0
F024,somebody pass political wonder. — shocking claims aliens surface internet.,0.0
F096,question material like store. wall dark argue spring up. — shocking claims celebrity scandal surface internet.,0.0
R247,fire determine build firm receive. design tell blood learn go front write. bad cut travel leg far remain. experts discuss ongoing developments public health.,1.0
F226,rate place art carry floor. challenge class so. — shocking claims government cover-up surface internet.,0.0
F100,find mean west relationship. century century. — shocking claims flat earth surface internet.,0.0
F246,guess order film until. low run million pay pass. ready career according appear avoid. — shocking claims government cover-up surface internet.,0.0
F183,authority report cost short who. box improve letter use run water. — shocking claims aliens surface internet.,0.0
R063,opportunity hour research cup impact despite happen live. today among nature management. experts discuss ongoing developments policy.,1.0
R005,involve assume best knowledge like man. experts discuss ongoing developments election.,1.0
R084,science hot break range. way term actually course life player mind. suddenly along bed need. system almost think meet toward write everything often. experts discuss ongoing developments election.,1.0
R124,culture entire strong skill attorney see. difference water television car black. experts discuss ongoing developments education.,1.0
R118,newspaper space mind house something use. experts discuss ongoing developments research.,1.0
F001,put box decision white field. north similar late recently western. — shocking claims aliens surface internet.,0.0
F007,least although line start wonder clearly. sort doctor difficult inside business camera southern sure. — shocking claims immortal jellyfish surface internet.,0.0
F046,study place skin. — shocking claims mind control surface internet.,0.0
R103,behind might concern. reality church main half. experts discuss ongoing developments research.,1.0
R037,rule international seek. experts discuss ongoing developments budget report.,1.0
F193,effect eye daughter significant center perhaps particular only. store number usually teacher among. — shocking claims secret cure surface internet.,0.0
R166,goal however fight able difficult nation. church debate others mind. experts discuss ongoing developments election.,1.0
F017,near kind million to. type ball deep happy enter skill down. ago despite threat. — shocking claims immortal jellyfish surface internet.,0.0
R008,meeting box fine customer. man reality focus national front. experts discuss ongoing developments economic growth.,1.0
F071,long rate girl start something. deal world official push generation south position. charge major avoid draw situation vote upon choice. — shocking claims celebrity scandal surface internet.,0.0
F028,truth still hot agree bring value. interest easy several president world food huge. fact charge data. ground everyone from. — shocking claims mind control surface internet.,0.0
F227,break large trip already. expect help lose worry support. trouble deal seem either clear across near structure. — shocking claims immortal jellyfish surface internet.,0.0
R200,real education old film president pass. sit sister force seek. bad small sister hospital. experts discuss ongoing developments public health.,1.0
R225,various require pass girl such. long prevent great end whole station. country western relate fly open worry building. experts discuss ongoing developments climate change.,1.0
R062,paper goal bring next brother. find term next do. experts discuss ongoing developments budget report.,1.0
F033,arrive article two push. room body traditional wind federal house always. — shocking claims hoax surface internet.,0.0
F012,truth approach dream. respond growth pm wait happen happen. drop present mission make. — shocking claims hoax surface internet.,0.0
R121,kitchen real vote data woman agreement. anyone interest mind sit. political technology. experts discuss ongoing developments research.,1.0
F210,bit sense three else support health. relate focus land make listen. — shocking claims aliens surface internet.,0.0
F151,walk process raise happy. mean hold left think. share appear later though hour investment sea. — shocking claims hoax surface internet.,0.0
F099,thus least reach report successful. — shocking claims secret cure surface internet.,0.0
