id,title,filtered_words_str,label
R129,New Report on Election,player old nice office scene. fear memory past stand region area home. experts discuss ongoing developments election.,REAL
R227,New Report on Climate Change,like daughter really mouth short yet run. professor since grow. experts discuss ongoing developments climate change.,REAL
F231,Aliens Confirmed by Sources,focus charge arrive official. choose report help culture enter. — shocking claims aliens surface internet.,FAKE
R066,New Report on Policy,clearly professional. experts discuss ongoing developments policy.,REAL
F095,Mind Control Confirmed by Sources,edge sing leader back since. film big town especially letter stock. — shocking claims mind control surface internet.,FAKE
R174,New Report on Policy,also serve onto similar course agreement. fear drug wide expect significant ok. skill conference true every water. rock return push talk of. experts discuss ongoing developments policy.,REAL
R201,New Report on Public Health,official enter pm take feel summer clear. food foot inside provide reason others wonder the. remain nation enjoy form. experts discuss ongoing developments public health.,REAL
R072,New Report on Education,level worker glass return my. role effort southern performance wall. experts discuss ongoing developments education.,REAL
R064,New Report on Research,current investment. experts discuss ongoing developments research.,REAL
F037,Miracle Drug Confirmed by Sources,represent ahead seat consider son grow. current whether produce time form. bar administration response fish gun. — shocking claims miracle drug surface internet.,FAKE
R170,New Report on Technology Breakthrough,space factor. operation doctor adult star. program finally clearly citizen talk indeed quickly. experts discuss ongoing developments technology breakthrough.,REAL
F110,Celebrity Scandal Confirmed by Sources,republican southern admit appear. free evidence rise contain especially seek. — shocking claims celebrity scandal surface internet.,FAKE
F048,Secret Cure Confirmed by Sources,since affect able something near occur. stock bank security management hospital tree. — shocking claims secret cure surface internet.,FAKE
F082,Hoax Confirmed by Sources,unit shake edge story item. teach social involve simple base. family line mind. — shocking claims hoax surface internet.,FAKE
F187,Miracle Drug Confirmed by Sources,go traditional buy feeling. movement collection system need option require. hand politics wonder sing them. — shocking claims miracle drug surface internet.,FAKE
F027,Miracle Drug Confirmed by Sources,behavior theory much prove painting popular increase. television perform. color method newspaper sort generation. — shocking claims miracle drug surface internet.,FAKE
F202,Hoax Confirmed by Sources,follow buy stuff. candidate study result fish president. put compare. — shocking claims hoax surface internet.,FAKE
F197,Secret Cure Confirmed by Sources,decade authority stock road successful. — shocking claims secret cure surface internet.,FAKE
R128,New Report on Climate Change,threat word close early past imagine. throw pay girl join grow happen. experts discuss ongoing developments climate change.,REAL
F157,Government Cover-Up Confirmed by Sources,shoulder major company black. trip store social own. force describe ok. — shocking claims government cover-up surface internet.,FAKE
F117,Hoax Confirmed by Sources,finally billion low idea attack. west resource organization. — shocking claims hoax surface internet.,FAKE
F173,Secret Cure Confirmed by Sources,record national happy family firm rich develop. agency professional answer parent mission difference. — shocking claims secret cure surface internet.,FAKE
F024,Aliens Confirmed by Sources,somebody pass political wonder. — shocking claims aliens surface internet.,FAKE
F096,Celebrity Scandal Confirmed by Sources,question material like store. wall dark argue spring up. — shocking claims celebrity scandal surface internet.,FAKE
R247,New Report on Public Health,fire determine build firm receive. design tell blood learn go front write. bad cut travel leg far remain. experts discuss ongoing developments public health.,REAL
F226,Government Cover-Up Confirmed by Sources,rate place art carry floor. challenge class so. — shocking claims government cover-up surface internet.,FAKE
F100,Flat Earth Confirmed by Sources,find mean west relationship. century century. — shocking claims flat earth surface internet.,FAKE
F246,Government Cover-Up Confirmed by Sources,guess order film until. low run million pay pass. ready career according appear avoid. — shocking claims government cover-up surface internet.,FAKE
F183,Aliens Confirmed by Sources,authority report cost short who. box improve letter use run water. — shocking claims aliens surface internet.,FAKE
R063,New Report on Policy,opportunity hour research cup impact despite happen live. today among nature management. experts discuss ongoing developments policy.,REAL
R005,New Report on Election,involve assume best knowledge like man. experts discuss ongoing developments election.,REAL
R084,New Report on Election,science hot break range. way term actually course life player mind. suddenly along bed need. system almost think meet toward write everything often. experts discuss ongoing developments election.,REAL
R124,New Report on Education,culture entire strong skill attorney see. difference water television car black. experts discuss ongoing developments education.,REAL
R118,New Report on Research,newspaper space mind house something use. experts discuss ongoing developments research.,REAL
F001,Aliens Confirmed by Sources,put box decision white field. north similar late recently western. — shocking claims aliens surface internet.,FAKE
F007,Immortal Jellyfish Confirmed by Sources,least although line start wonder clearly. sort doctor difficult inside business camera southern sure. — shocking claims immortal jellyfish surface internet.,FAKE
F046,Mind Control Confirmed by Sources,study place skin. — shocking claims mind control surface internet.,FAKE
R103,New Report on Research,behind might concern. reality church main half. experts discuss ongoing developments research.,REAL
R037,New Report on Budget Report,rule international seek. experts discuss ongoing developments budget report.,REAL
F193,Secret Cure Confirmed by Sources,effect eye daughter significant center perhaps particular only. store number usually teacher among. — shocking claims secret cure surface internet.,FAKE
R166,New Report on Election,goal however fight able difficult nation. church debate others mind. experts discuss ongoing developments election.,REAL
